Beteiligte;Objektbezeichnung;InvNr;Foto neu vorhanden?;Bild Nr neu;Bild bearbeitet?;Jahr_von;Jahr_bis;Datierung;Geogr_Bezug;Gattung;Maße;Material;Beschriftung;Verw_Institution;Sammlungsbereich;Akt_Standort;;Titel_Sammlung;Beschreibung_Notizen;unsere Notizen;OSM (Koordinaten);URL 1;URL 2;Foto von ;;;
Carl Friedrich Mylius;Stadttopographie;C22599;;;;1871;1880;1872;"Frankfurt am Main-Altstadt, Großer Hirschgraben 3 (""Weißer Hirsch"")";Fotografie;"Bildmaß: 23,7 x 17,8 cm; Blattmaß: 24,6 x 18,7 cm; Objektmaß: 53,2 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten links: "" 'Zum weißen Hirsch' "" (Bleistift, in Anführungszeichen)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;"Großer Hirschgraben 3, Haus ""Weißer Hirsch"", Eingangsportal, niedergelegt 1872";"Das Haus im Großen Hirschgraben wurde im gleichen Jahr [1872] abgebrochen und von Mylius vorher noch photographisch festgehalten. Rechts neben dem Eingang ein diese Jahre kennzeichnendes Auswanderungsbüro [""Concessionirtes Auswanderungs=Bureau von Heinrich Bernhard""]
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 50)


Die Geschäftswerbungen:

""[Fa]brik & Lager
von
[k]=Ornamenten
für
[AR]CHITEKTUR & KUNST
Zink=Bedachungen""

""Camoxxi & [nicht lesbar]""

""PATENTIERTE
Metall=Dichtungen
für
Stopfbüchsen von Dampfmaschinen
PUMPEN, HYDRAULISCHE PRESSEN etc:
Besorgung von Patenten""

""Concessionirtes
Auswanderungs=Bureau
von
Heinrich Bernhard""

""Schiffs-Gelegenheiten
nach
Amerika
und Australien.""";Der Berliner Strasse zum Opfer gefallen;50.11016,8.67721;;;;;;
Carl Friedrich Mylius;Natur, Stadttopographie;C22602;;;;1871;1880;1871;Frankfurt am Main-Westend, Hochstraße, Opernplatz (Haus Scherbius);Fotografie;"Bildmaß: 21,8 x 28,8 cm; Blattmaß: 22,5 x 29,9 cm; Objektmaß: 36,5 x 53,1 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten links: ""niedergelegt 1871."" (schwarze Tinte, Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Haus Scherbius an der Hochstraße, Gartenseite, jetzt Opernplatz;"Das Gebäude wurde 1871 niedergelegt, die Bewohner versammelten sich für ein letztes Erinnerungsphoto im Garten. Der Eigentümer Gustav Theodor Scherbius war Kaufmann und Mitglied der Handelskammer.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 212)";;;;;;;;
Carl Friedrich Mylius;Stadttopographie;C22603;;;;1860;1880;um 1870;Frankfurt am Main-Innenstadt, Große Eschenheimer Gasse 41, 43, 45;Fotografie;"Bildmaß: 23,6 x 19,8 cm; Blattmaß: 25 x 21 cm; Objektmaß: 53,2 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten: ""Bürger Verein No. 41. grosse Eschenheimergasse No. 43 - No. 45."" (schwarze Tinte, Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Große Eschenheimer Gasse Nr. 41, 43 und 45, im Vordergrund die Stiftstraße;"Die Große Eschenheimer Straße hieß ursprünglich Große Eschenheimer Gasse und verbindet den Schillerplatz mit dem Eschenheimer Turm. Abgebildet sind die Häuser 45 - 41, gesehen vom Eschenheimer Turm aus.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 167)

oben rechts ist ein großes Storchennest zu sehen - ohne Storch (vergleiche C29117: hier mit Storch; vergleiche auch Katalog ""Wie Frankfurt photographiert wurde"", Frankfurt am Main 1977, S. 124 unten: die C19966: hier ist am rechten Bildrand, mitte, ebenfalls ein unbewohntes Storchennest zu sehen)

vorne links das Straßenschild ""Stiftstrasse""

Haus Nr. 43:
""ANTIQUTES
CURIOSITES
L. ALTMATE [? Name? schwer lesbar]""

Haus Nr. 45:
""Colonialwaaren. ADOLF SCHE[von Bildrand abgeschnitten]""";Eckhaus Subway und die Hauser daneben. Das Haus 47, das nahe des Turmes stand, ist nicht mehr aufgebaut worden, daher entstand etwas mehr Platz;50.11679,8.67984;;;Susanna Kexel;;;
Carl Friedrich Mylius;Natur, Stadttopographie;C22604;;;;1865;1885;um 1875;Frankfurt am Main-Innenstadt, Zeil 36 (Mumm'sches Haus);Fotografie;"Bildmaß: 19,5 x 24,7 cm; Objektmaß: 36,4 x 53,1 cm";"Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Garten des Mumm'schen Hauses, Zeil 36, niedergelegt 1904;"Wie bei solchen Auftragsaufnahmen üblich, posierte die Familie in privater Umgebung. Die alteingesessene Frankfurter Familie war im Wein- und Champagnerhandel tätig.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 210)";;;;;;;;
Carl Friedrich Mylius;Natur, Stadttopographie;C22605;;;;1871;1880;1872;Frankfurt am Main-Westend, Kettenhofweg;Fotografie;"Bildmaß: 21 x 29,2 cm; Objektmaß: 36,6 x 53,2 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;"Kettenhofweg, ""Baumanns Garten""";"Die Aufnahme zeigt den Kettenhofweg zu einem Zeitpunkt, als die Bebauung schon weiter fortgeschritten war. Auf den Grundstücken entlang des Weges, die ursprünglich Gärten, Wiesen oder Felder waren, sind inzwischen Wohnhäuser errichtet worden.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 218)

Sehr hübsch ist die kleine originalgetreue Miniaturkutsche mit Pferden der beiden kleinen Jungen in der Mitte des Bildes";;;;;;;;
Carl Friedrich Mylius;Industrie, Stadttopographie;C25721;;;;1852;1872;um 1862;Frankfurt am Main-Ostend, Obermainstraße 18 (Gasfabrik);Fotografie;"Bildmaß: 17,5 x 23,6 cm; Blattmaß: 26 x 30,7 cm; Objektmaß: 36,5 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Die Gasfabrik in der Obermainstraße 18;"Frankfurt verfügte über mehrere Gasfabriken, die mwegen der inzwischen installierten Gasbeleuchtung notwendig geworden waren. Am Obermaintor betrieb die Imperial Continental Association die sogenannte Englische Gasfabrik.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 197)";;;;;;;;
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung";Stadtansicht;C27027;;;;1851;1860;1860;Frankfurt am Main;Fotografie;"Bildmaß: 19,9 x 27 cm; Objektmaß: 26,6 x 36,4 cm";"Papier; auf Papier aufgezogen; getont; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Ansicht von Frankfurt und Sachsenhausen vom Mühlberg;"Die Häuser und Gärten im Vordergrund befinden sich am Mühlberg und bilden den Stadtrand von Sachsenhausen zum damals noch selbständigen Dorf Oberrad. Deutlich sichtbar die Türme des Doms und der Kirchen der Innenstadt, im Hintergrund der Taunus. Vorne rechts die Häuser der Schönen Aussicht östlich der Alten Brücke. Dort wohnte Arthur Schopenhauer bis zu seinem Tod 1860.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 76)

Auffallend sind starke Retuschen z.B. an den Fensterläden des Hauses unten mitte, an der Paulskirche und zur Konturierung der hinteren Stadtsilhouette, dabei ist nicht erkennbar, ob diese Retuschen auf dem Positiv oder auf den Negativ vorgenommen wurden (Februar 2014)";;;;;;;;
Carl Friedrich Mylius;Stadttopographie;C27040;ja?!;;;1870;1890;um 1880;Frankfurt am Main-Innenstadt, Zeil, Konstabler Wache;Fotografie;"Bildmaß: 24 x 32,2 cm; Objektmaß: 36,4 x 53,1 cm";"auf Papier augezogen; Papier; Albuminabzug; getont";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Blick in die Zeil Richtung Westen, links die alte Konstablerwache, ehemaliges Zeughaus, niedergelegt 1886;"Am linken Rand ist die damalige Konstabler Wache zu sehen, die als Militärwache, Gefängnis und Polizeistation diente.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 158)


links, an der Konstabler Wache:
""Wechsel Bank Comptoir""

Die Beschriftung an der rechten Hauswand:
""H. BREUL
vormals
C. Wilsenbach
Farbwaaren [sic]
Droguen [sic]
Chemikalien
Portl. Cement
Maschinen[...]
etc.""";Die damalige konstablerwache stand wo heute das Bienenkorbhaus ist. Daher der Blich wie auf diesem Bild, https://de.wikipedia.org/wiki/Konstablerwache#/media/File:Mk_Frankfurt_Konstablerwache_Bienenkorbhaus.jpg;50.11453,8.68666;;;;;;
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung";Stadttopographie;C27047;ja;;;1871;1880;1872;Frankfurt am Main-Innenstadt, Biebergasse;Fotografie;"Bildmaß: 28,5 x 24,8 cm; Objektmaß: 53,2 x 36,5 cm";"Papier; auf Papier aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Die Biebergasse vom Komödienhause aus;"Der Blick geht vom Stadttheater, dessen Vordach links zu sehen ist, nach Westen in Richtung Schillerplatz, das Eckhaus rechts begrenzt den Theaterplatz. An dem sonnigen Tag der Aufnahme hatten sämtliche Geschäfte ihre Markisen vorgezogen.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 170)

rechts die ""Restauration Baierische Bier=Halle Heinrich Hold""

Ganz hinten, Richtung Schillerplatz, erkennbar:
""J. B. W. Lampe""
""C. Strohlein.""
""SCHOTT & C.""
""Musikalien Ha[...]""
und eine ""WEINWIRTSCHAFT""";Blick von der Fressgasse aus, also nach Osten Fotagrafiert. Die Markise auf dem Bild ist das Alte Schauspielhaus, der Platz rechts also deer Theaterplatz, heute Goetheplatz;50.11428,8.67637;;;Susanna Kexel;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C27048;;;;1871;1880;1879;Frankfurt am Main-Innenstadt, Schillerplatz, Biebergasse;Fotografie;"Bildmaß: 22,7 x 31 cm; Objektmaß: 36,5 x 53,2 cm";"Papier; auf Papier aufgezogen; Albuminabzug; Übermalungen bei dem Figurenpaar in der Bildmitte und dem mittleren Pferdekopf des Kutschengespanns; getont";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Schillerplatz, Häuserreihe nach Westen mit der Biebergasse;"Der Schillerplatz schließt sich nördlich an die Hauptwache an, wurde ursprünglich für Paraden des städtischen Militärs genutzt und hieß deshalb Paradeplatz. Nach der Aufstellung des Schillerdenkmals im Jahre 1864 wurde er in Schillerplatz umbenannt.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 60)";Auf Karte von 1852 noch nicht vorhanden, weder Schillerstrasse noch Schillerplatz. Auf Karte von 1895 ist er dann da, wo heute die Hauptwache (der platz) ist  // Hier stand der Fotograf;50.11406,8.67919;;;;;;
"Carl Friedrich Mylius; Nicolas Alexandre Salins de Montfort";Interieur, Stadttopographie;C28063;;;;1860;1880;um 1870;Frankfurt am Main-Innenstadt, Roßmarkt (Englischer Hof);Fotografie;"Bildmaß: 18 x 23,9 cm; Blattmaß: 24,3 x 29,7 cm; Objektmaß: 36,5 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Englischer Hof am Roßmarkt, Speisesaal;"Der Speisesaal wurde nicht nur von Hotelgästen genutzt, auch Einheimische nahmen ihn gern in Anspruch, so zum Beispiel Arthur Schopenhauer, der hier zuletzt regelmäßig mittags tafelte.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 208)";1904 abgerissen;;https://de.wikipedia.org/wiki/Datei:Frankfurt_Englischer_Hof_1878.jpg;;;;;
Carl Friedrich Mylius;Stadttopographie;C28454;;;;1859;1879;um 1869;Frankfurt am Main-Altstadt, Alter Markt;Fotografie;"Bildmaß: 27,1 x 26,4 cm Ecken abgeschrägt; Blattmaß: 30,1 x 29,4 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Blick in den Alten Markt, Kanalarbeiten, rechts das Haus Großer Engel, im Hintergrund der eingerüstete Domturm;"Mylius dokumentiert hier den Anschluss der mittelalterlichen Gebäude an die neuzeitliche Kanalisation. Im Hintergrund der bereits eingerüstete Domturm, rechts das Haus zum Großen Engel.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 140)

Die Geschäfte vergleiche auch C28562):
linkes Haus:
""Reinhardt jr.""

""[Kn]aben-Garderobe""
""30 [Hausnummer] H. Umpfenbach. 30""

""Cigarren
Tabak""

Haus Großer Engel:
""[Same]n-Handlung
und
[...]iebeln-Lager
von
[Deum]er & Wirth""

""Saemereien
von Deumer und Wirth.
E. Stumpf=Pfefferkorn
Nachfolger""";Ganz neu ein ähnliches Bild wie auf dem Foto. Blick in die neue Altstadt vom Römer aus.;50.11060,8.68248;;;Susanna Kexel;;;
;;C29094;ja;;;;;1880;Frankfurt am Main, Zeil 67, Alte Nummerierung;Fotografie;;;;;;;;;;Heute Zeil 123, an der Katharinenkirche, altes Foto, vor dem neuen Umbau auf https://de.wikipedia.org/wiki/Zeil#/media/File:Zeil_an_der_Hauptwache_4-2011_Pano.jpg , Bild von heute mach ich noch // Blasses Foto vom 1. Stock des Kaufhof, deer Blickwinkel ist besser, das Bild aber schlecht. // Metadaten aus Bildunterschrift geschrieben, da dieses Bild fehlte Kx;50.11362,8.68007;;;Susanna Kexel;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C29095;;;;1881;1890;1884;Frankfurt am Main-Innenstadt, Große Eschenheimer Gasse 43;Fotografie;"Bildmaß: 17,5 x 22,7 cm; Blattmaß: 23,2 x 28 cm; Objektmaß: 36,1 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Giebelfeld des Hauses Große Eschersheimer Gasse Nr. 43, 1891 abgebrochen, mit dem Fleischbein-von-Clebergs-Wappen;"Aufgenommen vom gegenüberliegenden Gebäude des (alten) Bürgervereins von 1848 aus, dessen Mitglied Mylius war. Das Giebelfeld zeigt das Wappen des ursprünglichen Bauherren Philipp Wilhelm Fleischbein, ""Lamm und Löwe in diagonal gelegenen Feldern"".
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 168)

Die Verschattungen an den Bildecken können von einem gegenüberliegenden Fenster kommen, von dem aus die Aufnahme gemacht wurde; die Verschattungen fehlen auf der Fay-Reproduktion C40024,257";s. C22603;50.11674,8.67956;s. Foto;;;;;
Carl Friedrich Mylius;Stadttopographie;C29097;ja?!;;;1870;1890;um 1880;Frankfurt am Main-Westend (Grüneburg);Fotografie;"Bildmaß: 27 x 18,9 cm linker Rand nicht ganz gerade geschnitten; Blattmaß: 32,9 x 24,1 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Die Grüneburg, Gartenansicht;;s. C29098;;;;;;;
Carl Friedrich Mylius;Stadttopographie;C29098;ja?!;;;1860;1880;um 1870;Frankfurt am Main-Westend (Grüneburg);Fotografie;"Bildmaß: 19,3 x 27,3 cm; Blattmaß: 21,8 x 29,2 cm; Objektmaß: 36,6 x 53,1 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Die Grüneburg, Vorderseite;"Eigentümer der Villa waren seit 1877 der Bankier und Konsul Wilhelm Carl von Rothschild und seine Frau Hannah Mathilde, eine Kunstmäzenin und Stifterin. Das 1845 im Louis-Seize-Stil erbaute Schlösschen ging auf Amschel Mayer von Rothschild zurück, der einige Jahre zuvor das dort befindliche Hofgut ""Zur Grünen Burg"" erworben hatte.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 225)";Gibt eine Stele im Grüneburgpark. Fotos des Hauses und der Gegend unter https://de.wikipedia.org/wiki/Gr%C3%BCneburgpark;50.12772,8.66136;;;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C29103;ja?!;;;1861;1870;1866;Frankfurt am Main-Altstadt, Dom;Architekturfotografie;"Bildmaß: 30,7 x 21,4 cm; Blattmaß: 34,2 x 24,3 cm die Breite variiert von oben 24,3 cm  bis unten 23,8 cm; Objektmaß: 53,1 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten, auf auf Original-Unterkarton: ""Aufgen. auf der Paulskirche für mein Werk 'Die Wahl u. Krönungskirche' ect. 1866""  (schwarze Tinte; Handschrift von C. F. Mylius, vergleiche C29099: hier ist auch der Hinweis von Mylius, daß dieses Werk im Selbstverlag erschien und 18 Gulden kostete)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Der Dom vom Turm der Paulskirche aus, im Vordergrund Dach des Steinernen Hauses;;Aufnahme mit unseren Mitteln nicht wiederholbar. Ähnliche neue Aufnahme unter https://de.wikipedia.org/wiki/Kaiserdom_St._Bartholom%C3%A4us;50.11064,8.68494;;;;;;
Carl Friedrich Mylius;Stadtansicht;C29105;ja;;;1861;1870;1865;Frankfurt am Main-Altstadt;Fotografie;"Bildmaß: 22 x 29 cm; Blattmaß: 27 x 34,2 cm; Objektmaß: 36,2 x 53,1 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Alte Brücke und Frankfurter Ufer von Süd-Osten, mit dem 1890 stillgelegten Pumpwerk;;Vom Sachsenhäuser Ufer aus // Foto Kx, vom 5. Stock der Jugendherberge aus;50.1072,8.6895;;;Susanna Kexel;;;
Carl Friedrich Mylius;Architektur, Stadtansicht, Stadttopographie;C29109;;;;1871;1880;1874;Frankfurt am Main-Innenstadt;Fotografie;"Bildmaß: 20,5 x 29,5 cm; Blattmaß: 24,3 x 32,7 cm; Objektmaß: 36,2 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Guaita'sches Haus, mit der Untermainbrücke im Bau, im Hintergrund eingerüsteter Domturm;"Das Gartenloakl war in der ersten Hälfte des 19. Jahrhunderts für seine Aussicht auf die andere Mainseite berühmt, verlor aber seine Attraktion mit dem Bau der Verbindungsbahn und der Verlängerung des Mainkais; das Gebäude wurde 1873 abgerissen. Im Hintergrund die halb fertige zwischen 1872 und 1874 erbaute Untermainbrücke, im Vordergrund gelagerte Röhren für die Umgestaltungs- und Kanalarbeiten.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 196, zu dem identischen Motiv Ph07838)";;;;;;;;
Carl Friedrich Mylius;Dokumentarfotografie, Historie, profan, Stadttopographie;C29110;;;;1871;1880;1880;Frankfurt am Main-Innenstadt;Fotografie;"Bildmaß: 20,5 x 28,6 cm; Blattmaß: 25,1 x 32,6 cm; Objektmaß: 36,2 x 53,1 cm";"Papier; auf Karton aufgezogen; Tusche (Nachskizzieren der Fahnen); Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Eingang zum Festplatz des Deutschen Turnfestes;"Das 5. Allgemeine Deutsche Turnfest fand im Juli 1880 in Frankfurt statt. Typisch für Mylius ist, dass er keine Turner aufnimmt, sondern das unbelebte Eingangstor - mit dem Spruch ""Frisch, fromm, fröhlich, frei"" - als Symbol für das Fest.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 275)

Der Spruch über dem Eingangstor:
""Gut Heil! Gesamte Turnerschaft, frisch, fröhlich, fromm & frei,
nun zeigt dem Volk, dass Mark & Kraft noch in der Jugend sei!""";;;;;;;;
Carl Friedrich Mylius;Stadtansicht;C29118;;;;1867;1877;nach 1867;Frankfurt am Main-Altstadt;Fotografie;"Bildmaß: 22,7 x 31,5 cm; Blattmaß: 27 x 35,8 cm; Objektmaß: 36 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten mitte rechts: ""erster Abdruck für Frau Bolongaro."" (schwarze Feder, Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Ansicht von Frankfurt von Sachsenhausen aus, mit Eisernem Steg und eingerüstetem Domturm im Hintergrund;"Das Frankfurter Mainufer nach der Errichtung des des Eisernen Stegs, um 1870. Das Mainufer diente an vielen Stellen als Lagerplatz für Baumaterial.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 26, zu der Variante Ph20519)";;;;;;;;
"Carl Friedrich Mylius; Carl Friedrich Mylius, ganz oben im Fenster";Stadttopographie;C29121;;;;1881;1890;1889;Frankfurt am Main-Innenstadt, Biebergasse 3 (Wohnhaus C. F. Mylius);Fotografie;"Bildmaß: 29,4 x 19,8 cm; Blattmaß: 35,2 x 24,2 cm; Objektmaß: 53 x 36,1 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten, auf Unterkarton: ""Niedergelegt v. 4 Mai bis 25 Mai 1889. Bibergasse [sic] No. 3, Hinterhaus Wohnhaus des Photogr. C. F Mylius geb. 10 Januar 1826 [sic]."" (schwarze Tinte, Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Die Rückseite (Hinterhaus) des Hauses Biebergasse 3, Wohnung des Fotografen Carl Friedrich Mylius;"Mylius ließ sein Haus im Mai 1889 abreißen und durch einen Neubau ersetzen. Auch diese Aufnahme hat nostalgischen Charakter: Er wollte noch einmal sein Atelier dokumentieren und steht oben am offenen Fenster, umgeben von frischen Positiv-Abzügen, die in der Sonne trocknen.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 171)";;;;;;;;
Carl Friedrich Mylius;"Natur; Stadttopographie";C29137;;;;1861;1870;1869;Frankfurt am Main-Westend, Hochstraße/Opernplatz (Jean Andreae'sches Haus);Fotografie;"Bildmaß: 18 x 24,2 cm; Blattmaß: 21,4 x 26,7 cm; Objektmaß: 26,6 x 36,2 cm";"Papier; Tusche (Nachzeichnungen oberer Giebel und Blattspitzen Baum rechts); auf Karton aufgezogen; Albuminabzug";"recto, unten: ""Haus Jean Andrae [sic] Hochstraße (jetzt Opernplatz)."" (schwarze Tinte)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Haus Jean Andreae, Hochstraße (jetzt Opernplatz), Garten;"Die Familie Andreae war im 17. Jahrhundert aus Straßburg eingewandert und gehörte zum gehobenen Bürgertum. Der damalige Besitzer Jean Andreae-Willem veräußerte das Haus angesichts des bevorstehenden Baus der Oper.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 211)

Interessant ist die kleine Figur in der Nische links neben dem Gebäude, linke obere Ecke: wie eine ""Karyatiden-Figur"" scheint sie die Decke zu stützen.";;;;;;;;
Carl Friedrich Mylius;Natur, Stadttopographie;C29299;ja?!;;;1868;1878;vor 1878;Frankfurt am Main-Westend, Palmengarten;Fotografie;"Bildmaß: 21 x 30,5 cm; Blattmaß: 27,5 x 37 cm; Objektmaß: 36,5 x 53 cm Passepartout-Karton";"Papier; auf Karton aufgezogen; Passepartout-Karton; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;;Palmengartenhaus;;s. C29323;;;;;;;
"Carl Friedrich Mylius; Kein Eintrag, T.F.? siehe Signatur recto, unten rechts auf der fotografierten Zeichnung";Architektur, Industrie;C29313;;;;1855;1875;um 1865;Frankfurt am Main;Fotografie;"Bildmaß: 26 x 22,7 cm; Blattmaß: 30,3 x 26,5 cm; Objektmaß: 53 x 36,1 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, oben links auf Original-Unterkarton: ""No 11032."" (Bleistift, ausradiert, sehr schlecht lesbar)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Frankfurter Quellwasserleitung, Sammelgalerie, nach einer Zeichnung;"Die Planungen für die 70 Kilometer lange Leitung wurden 1869 begonnen, die Inbetriebnahme erfolgte 1873.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 249)";;;;;;;;
Carl Friedrich Mylius;Interieur, Stadttopographie;C29315;;;;1870;1890;um 1880;Frankfurt am Main-Altstadt, Untermainkai 14 (Rothschild-Haus);Fotografie;"Bildmaß: 26,7 x 22,6 cm; Blattmaß: 32,4 x 27,4 cm; Objektmaß: 53,1 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Rothschild-Haus, Untermainkai 14, Empfangsraum;"Diese Aufnahme dokumentiert den Einrichtungsstil im gehobenen Bürgertum Frankfurts. Das Palais wurde 1820 am damals neu bebauten Untermainkai errichtet. Eigentümer war ursprünglich der Bankier Johann Isaak Speyer; Mayer Carl von Rothschild kaufte es von dessen Witwe und erweiterte es großzügig.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 206)";;;;;;;;
Carl Friedrich Mylius;Natur, Stadttopographie;C29317;;;;1861;1870;09.04.1870;Frankfurt am Main-Westend, Palmengarten;Fotografie;"Bildmaß: 22,8 x 29,7 cm; Blattmaß: 26,3 x 32 cm; Objektmaß: 36,5 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten mitte: ""gemalte Decoration bei Eröffnung im Jahr 1870, 9 April."" (braune Tinte, Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Palmengarten, gemalte Dekoration zur Eröffnung;"Am 9. April 1870 wurden die ersten Teile des neuen Palmengartens, das Palmenhaus und die Blütengalerie, feierlich eröffnet. Grundstock des Palmengartens waren die Biebricher Wintergärten des Herzogs von Nassau, die ein Frankfurter Bürgerkomitee auf Anregung des Gartenfachmanns Heinrich Siesmeyer angekauft hatte.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 268)";;;;;;;;
Carl Friedrich Mylius;Natur, Stadttopographie;C29321;;;;1861;1870;1867;Frankfurt am Main-Ostend, Rechneigrabenweiher;Fotografie;"Bildmaß: 18,7 x 28,1 cm; Blattmaß: 24 x 33,8 cm; Objektmaß: 36,1 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Rechneigrabenweiher, westlicher Teil;Die Spiegelung der Häuser im Wasser ist sehr eindrucksvoll (vor allem, wenn man das Bild verkehrtherum betrachtet);;;;;;;;
